country,name,type,rank
anguilla,Monica,f,78
anguilla,Vincent,f,79
anguilla,Barbara,f,80
anguilla,Dennis,f,81
anguilla,Dorothy,f,82
anguilla,Heather,f,83
anguilla,Ian,f,84
anguilla,Jennifer,f,85
anguilla,Marvin,f,86
anguilla,Veronica,f,87
anguilla,Victor,f,88
anguilla,Ana,f,89
anguilla,Anita,f,90
anguilla,Ann,f,91
anguilla,Carlos,f,92
anguilla,Cheryl,f,93
anguilla,Ronald,f,94
anguilla,Verna,f,95
anguilla,Winston,f,96
anguilla,Yvette,f,97
anguilla,Alma,f,98
anguilla,Beverly,f,99
anguilla,Carolyn,f,100
anguilla,Richardson,s,1
anguilla,Gumbs,s,2
anguilla,Hodge,s,3
anguilla,Connor,s,4
anguilla,Carty,s,5
anguilla,Webster,s,6
anguilla,Brooks,s,7
anguilla,Fleming,s,8
anguilla,Hughes,s,9
anguilla,Rogers,s,10
anguilla,Lake,s,11
anguilla,Harrigan,s,12
anguilla,Smith,s,13
anguilla,Bryan,s,14
anguilla,Romney,s,15
anguilla,Davis,s,16
anguilla,Vanterpool,s,17
anguilla,Ruan,s,18
anguilla,Proctor,s,19
anguilla,Reid,s,20
anguilla,Lloyd,s,21
anguilla,Mussington,s,22
anguilla,Williams,s,23
anguilla,Thomas,s,24
anguilla,Carter,s,25
anguilla,Edwards,s,26
anguilla,Lewis,s,27
anguilla,Rey,s,28
anguilla,Duncan,s,29
anguilla,Niles,s,30
anguilla,Johnson,s,31
anguilla,Thompson,s,32
anguilla,Browne,s,33
anguilla,Banks,s,34
anguilla,Petty,s,35
anguilla,Brown,s,36
anguilla,Franklin,s,37
anguilla,Hazell,s,38
anguilla,Joseph,s,39
anguilla,Richards,s,40
anguilla,Wallace,s,41
anguilla,Brookes,s,42
anguilla,Samuel,s,43
anguilla,Adams,s,44
anguilla,Hennis,s,45
anguilla,Sasso,s,46
anguilla,Harris,s,47
anguilla,Hall,s,48
anguilla,Horsford,s,49
anguilla,Maynard,s,50
anguilla,Morton,s,51
anguilla,Benjamin,s,52
anguilla,Gomez,s,53
anguilla,Liburd,s,54
anguilla,Buchanan,s,55
anguilla,Roberts,s,56
anguilla,Hawley,s,57
anguilla,Woodley,s,58
anguilla,Clarke,s,59
anguilla,James,s,60
anguilla,Payne,s,61
anguilla,Pemberton,s,62
anguilla,Woods,s,63
anguilla,Arrindell,s,64
anguilla,Fahie,s,65
anguilla,Martin,s,66
anguilla,Bryson,s,67
anguilla,Hunte,s,68
anguilla,Jones,s,69
anguilla,Liddie,s,70
anguilla,Walters,s,71
anguilla,Warner,s,72
anguilla,Crawford,s,73
anguilla,Nicholls,s,74
anguilla,Abbott,s,75
anguilla,Bradley,s,76
anguilla,Bradshaw,s,77
anguilla,Busby,s,78
anguilla,Daniel,s,79
anguilla,Kentish,s,80
anguilla,Lawrence,s,81
anguilla,Phillip,s,82
anguilla,Wilson,s,83
anguilla,Flemming,s,84
anguilla,Paul,s,85
anguilla,Baptiste,s,86
anguilla,Charles,s,87
anguilla,Francis,s,88
anguilla,Grant,s,89
anguilla,Henry,s,90
anguilla,Heyliger,s,91
anguilla,Hill,s,92
anguilla,Hull,s,93
anguilla,John,s,94
anguilla,King,s,95
anguilla,Miller,s,96
anguilla,Phillips,s,97
anguilla,Potter,s,98
anguilla,Stevens,s,99
anguilla,Willock,s,100
argentina,Maria,f,1
argentina,Juan,f,2
argentina,Jose,f,3
argentina,Carlos,f,4
argentina,Jorge,f,5
argentina,Luis,f,6
argentina,Miguel,f,7
argentina,Ana,f,8
argentina,Hector,f,9
argentina,Ramon,f,10
argentina,Silvia,f,11
argentina,Rosa,f,12
argentina,Roberto,f,13
argentina,Oscar,f,14
argentina,Daniel,f,15
argentina,Norma,f,16
argentina,Marta,f,17
argentina,Mario,f,18
argentina,Claudia,f,19
argentina,Pedro,f,20
argentina,Ricardo,f,21
argentina,Graciela,f,22
argentina,Raul,f,23
argentina,Pablo,f,24
argentina,Eduardo,f,25
argentina,Sergio,f,26
argentina,Marcelo,f,27
argentina,Julio,f,28
argentina,Monica,f,29
argentina,Hugo,f,30
argentina,Alberto,f,31
argentina,Ruben,f,32
argentina,Gustavo,f,33
argentina,Susana,f,34
argentina,Antonio,f,35
argentina,Mirta,f,36
argentina,Victor,f,37
argentina,Alicia,f,38
argentina,Francisco,f,39
argentina,Diego,f,40
argentina,Patricia,f,41
argentina,Nelida,f,42
argentina,Juana,f,43
argentina,Liliana,f,44
argentina,Angel,f,45
argentina,Sandra,f,46
argentina,Alejandro,f,47
argentina,Laura,f,48
argentina,Olga,f,49
argentina,Andrea,f,50
argentina,Claudio,f,51
argentina,Elsa,f,52
argentina,Walter,f,53
argentina,Fernando,f,54
argentina,Nestor,f,55
argentina,Ramona,f,56
argentina,Adriana,f,57
argentina,Marcela,f,58
argentina,Carmen,f,59
argentina,Guillermo,f,60
argentina,Manuel,f,61
argentina,Lidia,f,62
argentina,Teresa,f,63
argentina,Cristian,f,64
argentina,Martin,f,65
argentina,Gabriela,f,66
argentina,Alfredo,f,67
argentina,Gladys,f,68
argentina,Veronica,f,69
argentina,Enrique,f,70
argentina,Blanca,f,71
argentina,Natalia,f,72
argentina,Margarita,f,73
argentina,Irma,f,74
argentina,Beatriz,f,75
argentina,Osvaldo,f,76
argentina,Mercedes,f,77
argentina,Javier,f,78
argentina,Gabriel,f,79
argentina,Horacio,f,80
argentina,Alejandra,f,81
argentina,Cesar,f,82
argentina,Rodolfo,f,83
argentina,Dora,f,84
argentina,Omar,f,85
argentina,Elena,f,86
argentina,Angela,f,87
argentina,Andres,f,88
argentina,Cristina,f,89
argentina,Lorena,f,90
argentina,Delia,f,91
argentina,Isabel,f,92
argentina,Stella,f,93
argentina,Ariel,f,94
argentina,Mariana,f,95
argentina,Ernesto,f,96
argentina,Leonardo,f,97
argentina,Mariela,f,98
argentina,Nilda,f,99
argentina,Domingo,f,100
argentina,Gonzalez,s,1
argentina,Rodriguez,s,2
argentina,Gomez,s,3
argentina,Fernandez,s,4
argentina,Lopez,s,5
argentina,Diaz,s,6
argentina,Martinez,s,7
argentina,Perez,s,8
argentina,Garcia,s,9
argentina,Sanchez,s,10
argentina,Romero,s,11
argentina,Sosa,s,12
argentina,Torres,s,13
argentina,Alvarez,s,14
argentina,Ruiz,s,15
argentina,Ramirez,s,16
argentina,Flores,s,17
argentina,Benitez,s,18
argentina,Acosta,s,19
argentina,Medina,s,20
argentina,Herrera,s,21
argentina,Suarez,s,22
argentina,Aguirre,s,23
argentina,Gimenez,s,24
argentina,Gutierrez,s,25
argentina,Pereyra,s,26
argentina,Rojas,s,27
argentina,Molina,s,28
argentina,Castro,s,29
argentina,Ortiz,s,30
argentina,Silva,s,31
argentina,Nuñez,s,32
argentina,Luna,s,33
argentina,Juarez,s,34
argentina,Cabrera,s,35
argentina,Rios,s,36
argentina,Morales,s,37
argentina,Godoy,s,38
argentina,Moreno,s,39
argentina,Ferreyra,s,40
argentina,Dominguez,s,41
argentina,Carrizo,s,42
argentina,Peralta,s,43
argentina,Castillo,s,44
argentina,Ledesma,s,45
argentina,Quiroga,s,46
argentina,Vega,s,47
argentina,Vera,s,48
argentina,Muñoz,s,49
argentina,Ojeda,s,50
argentina,Ponce,s,51
argentina,Villalba,s,52
argentina,Cardozo,s,53
argentina,Navarro,s,54
argentina,Coronel,s,55
argentina,Vazquez,s,56
argentina,Ramos,s,57
argentina,Vargas,s,58
argentina,Caceres,s,59
argentina,Arias,s,60
argentina,Figueroa,s,61
argentina,Cordoba,s,62
argentina,Correa,s,63
argentina,Maldonado,s,64
argentina,Paz,s,65
argentina,Rivero,s,66
argentina,Miranda,s,67
argentina,Mansilla,s,68
argentina,Farias,s,69
argentina,Roldan,s,70
argentina,Mendez,s,71
argentina,Guzman,s,72
argentina,Aguero,s,73
argentina,Hernandez,s,74
argentina,Lucero,s,75
argentina,Cruz,s,76
argentina,Paez,s,77
argentina,Escobar,s,78
argentina,Mendoza,s,79
argentina,Barrios,s,80
argentina,Bustos,s,81
argentina,Avila,s,82
argentina,Ayala,s,83
argentina,Blanco,s,84
argentina,Soria,s,85
argentina,Maidana,s,86
argentina,Acuña,s,87
argentina,Leiva,s,88
argentina,Duarte,s,89
argentina,Moyano,s,90
argentina,Campos,s,91
argentina,Soto,s,92
argentina,Martin,s,93
argentina,Valdez,s,94
argentina,Bravo,s,95
argentina,Chavez,s,96
argentina,Velazquez,s,97
argentina,Olivera,s,98
argentina,Toledo,s,99
argentina,Franco,s,100
australia,David,f,1
australia,John,f,2
australia,Peter,f,3
australia,Michael,f,4
australia,Andrew,f,5
australia,Paul,f,6
australia,Mark,f,7
australia,Ian,f,8
australia,Robert,f,9
australia,Chris,f,10
australia,Steven,f,11
australia,Julie,f,12
australia,Michelle,f,13
australia,Karen,f,14
australia,James,f,15
australia,Sue,f,16
australia,Sarah,f,17
australia,Helen,f,18
australia,Tony,f,19
australia,Elizabeth,f,20
australia,Lisa,f,21
australia,Greg,f,22
australia,Kate,f,23
australia,Benjamin,f,24
australia,Richard,f,25
